date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_placeholder_match,match_stage_status
2026-06-11,Mexico,South Africa,,,FIFA World Cup,Mexico City,Mexico,False,False,Predictable
2026-06-11,South Korea,Czech Republic,,,FIFA World Cup,Zapopan,Mexico,True,False,Predictable
2026-06-12,Canada,Bosnia and Herzegovina,,,FIFA World Cup,Toronto,Canada,False,False,Predictable
2026-06-12,United States,Paraguay,,,FIFA World Cup,Inglewood,United States,False,False,Predictable
2026-06-13,Qatar,Switzerland,,,FIFA World Cup,Santa Clara,United States,True,False,Predictable
2026-06-13,Brazil,Morocco,,,FIFA World Cup,East Rutherford,United States,True,False,Predictable
2026-06-13,Haiti,Scotland,,,FIFA World Cup,Foxborough,United States,True,False,Predictable
2026-06-13,Australia,Turkey,,,FIFA World Cup,Vancouver,Canada,True,False,Predictable
2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,United States,True,False,Predictable
2026-06-14,Ivory Coast,Ecuador,,,FIFA World Cup,Philadelphia,United States,True,False,Predictable
2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,United States,True,False,Predictable
2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,True,False,Predictable
2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,United States,True,False,Predictable
2026-06-15,Iran,New Zealand,,,FIFA World Cup,Inglewood,United States,True,False,Predictable
2026-06-15,Spain,Cape Verde,,,FIFA World Cup,Atlanta,United States,True,False,Predictable
2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,United States,True,False,Predictable
2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,United States,True,False,Predictable
2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,United States,True,False,Predictable
2026-06-16,Argentina,Algeria,,,FIFA World Cup,Kansas City,United States,True,False,Predictable
2026-06-16,Austria,Jordan,,,FIFA World Cup,Santa Clara,United States,True,False,Predictable
2026-06-17,Portugal,DR Congo,,,FIFA World Cup,Houston,United States,True,False,Predictable
2026-06-17,Uzbekistan,Colombia,,,FIFA World Cup,Mexico City,Mexico,True,False,Predictable
2026-06-17,England,Croatia,,,FIFA World Cup,Arlington,United States,True,False,Predictable
2026-06-17,Ghana,Panama,,,FIFA World Cup,Toronto,Canada,True,False,Predictable
2026-06-18,Czech Republic,South Africa,,,FIFA World Cup,Atlanta,United States,True,False,Predictable
2026-06-18,Mexico,South Korea,,,FIFA World Cup,Zapopan,Mexico,False,False,Predictable
2026-06-18,Switzerland,Bosnia and Herzegovina,,,FIFA World Cup,Inglewood,United States,True,False,Predictable
2026-06-18,Canada,Qatar,,,FIFA World Cup,Vancouver,Canada,False,False,Predictable
2026-06-19,Scotland,Morocco,,,FIFA World Cup,Foxborough,United States,True,False,Predictable
2026-06-19,Brazil,Haiti,,,FIFA World Cup,Philadelphia,United States,True,False,Predictable
2026-06-19,United States,Australia,,,FIFA World Cup,Seattle,United States,False,False,Predictable
2026-06-19,Turkey,Paraguay,,,FIFA World Cup,Santa Clara,United States,True,False,Predictable
2026-06-20,Germany,Ivory Coast,,,FIFA World Cup,Toronto,Canada,True,False,Predictable
2026-06-20,Ecuador,Curaçao,,,FIFA World Cup,Kansas City,United States,True,False,Predictable
2026-06-20,Netherlands,Sweden,,,FIFA World Cup,Houston,United States,True,False,Predictable
2026-06-20,Tunisia,Japan,,,FIFA World Cup,Guadalupe,Mexico,True,False,Predictable
2026-06-21,Belgium,Iran,,,FIFA World Cup,Inglewood,United States,True,False,Predictable
2026-06-21,New Zealand,Egypt,,,FIFA World Cup,Vancouver,Canada,True,False,Predictable
2026-06-21,Spain,Saudi Arabia,,,FIFA World Cup,Atlanta,United States,True,False,Predictable
2026-06-21,Uruguay,Cape Verde,,,FIFA World Cup,Miami Gardens,United States,True,False,Predictable
2026-06-22,France,Iraq,,,FIFA World Cup,Philadelphia,United States,True,False,Predictable
2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,United States,True,False,Predictable
2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,True,False,Predictable
2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,True,False,Predictable
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,True,False,Predictable
2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,True,False,Predictable
2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,United States,True,False,Predictable
2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,True,False,Predictable
2026-06-24,Mexico,Czech Republic,,,FIFA World Cup,Mexico City,Mexico,False,False,Predictable
2026-06-24,South Africa,South Korea,,,FIFA World Cup,Guadalupe,Mexico,True,False,Predictable
2026-06-24,Canada,Switzerland,,,FIFA World Cup,Vancouver,Canada,False,False,Predictable
2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup,Seattle,United States,True,False,Predictable
2026-06-24,Scotland,Brazil,,,FIFA World Cup,Miami Gardens,United States,True,False,Predictable
2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,United States,True,False,Predictable
2026-06-25,United States,Turkey,,,FIFA World Cup,Inglewood,United States,False,False,Predictable
2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,United States,True,False,Predictable
2026-06-25,Curaçao,Ivory Coast,,,FIFA World Cup,Philadelphia,United States,True,False,Predictable
2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,United States,True,False,Predictable
2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,United States,True,False,Predictable
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,United States,True,False,Predictable
2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,True,False,Predictable
2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True,False,Predictable
2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,True,False,Predictable
2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True,False,Predictable
2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,United States,True,False,Predictable
2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,True,False,Predictable
2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,True,False,Predictable
2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,True,False,Predictable
2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,True,False,Predictable
2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,True,False,Predictable
2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,True,False,Predictable
2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,True,False,Predictable
2026-06-28,Runner-up Group A,Runner-up Group B,,,FIFA World Cup,Inglewood,United States,True,True,Placeholder
2026-06-29,Winner Group E,3rd Group A/B/C/D/F,,,FIFA World Cup,Foxborough,United States,True,True,Placeholder
2026-06-29,Winner Group F,Runner-up Group C,,,FIFA World Cup,Guadalupe,Mexico,True,True,Placeholder
2026-06-29,Winner Group C,Runner-up Group F,,,FIFA World Cup,Houston,United States,True,True,Placeholder
2026-06-30,Winner Group I,3rd Group C/D/F/G/H,,,FIFA World Cup,East Rutherford,United States,True,True,Placeholder
2026-06-30,Runner-up Group E,Runner-up Group I,,,FIFA World Cup,Arlington,United States,True,True,Placeholder
2026-06-30,Winner Group A,3rd Group C/E/F/H/I,,,FIFA World Cup,Mexico City,Mexico,True,True,Placeholder
2026-07-01,Winner Group L,3rd Group E/H/I/J/K,,,FIFA World Cup,Atlanta,United States,True,True,Placeholder
2026-07-01,Winner Group D,3rd Group B/E/F/I/J,,,FIFA World Cup,Santa Clara,United States,True,True,Placeholder
2026-07-01,Winner Group G,3rd Group A/E/H/I/J,,,FIFA World Cup,Seattle,United States,True,True,Placeholder
2026-07-02,Runner-up Group K,Runner-up Group L,,,FIFA World Cup,Toronto,Canada,True,True,Placeholder
2026-07-02,Winner Group H,Runner-up Group J,,,FIFA World Cup,Inglewood,United States,True,True,Placeholder
2026-07-02,Winner Group B,3rd Group E/F/G/I/J,,,FIFA World Cup,Vancouver,Canada,True,True,Placeholder
2026-07-03,Winner Group J,Runner-up Group H,,,FIFA World Cup,Miami Gardens,United States,True,True,Placeholder
2026-07-03,Winner Group K,3rd Group D/E/I/J/L,,,FIFA World Cup,Kansas City,United States,True,True,Placeholder
2026-07-03,Runner-up Group D,Runner-up Group G,,,FIFA World Cup,Arlington,United States,True,True,Placeholder
2026-07-04,Winner Match 73,Winner Match 74,,,FIFA World Cup,Philadelphia,United States,True,True,Placeholder
2026-07-05,Winner Match 75,Winner Match 76,,,FIFA World Cup,Houston,United States,True,True,Placeholder
2026-07-05,Winner Match 77,Winner Match 78,,,FIFA World Cup,East Rutherford,United States,True,True,Placeholder
2026-07-06,Winner Match 79,Winner Match 80,,,FIFA World Cup,Mexico City,Mexico,True,True,Placeholder
2026-07-06,Winner Match 81,Winner Match 82,,,FIFA World Cup,Arlington,United States,True,True,Placeholder
2026-07-07,Winner Match 83,Winner Match 84,,,FIFA World Cup,Seattle,United States,True,True,Placeholder
2026-07-07,Winner Match 85,Winner Match 86,,,FIFA World Cup,Atlanta,United States,True,True,Placeholder
2026-07-08,Winner Match 87,Winner Match 88,,,FIFA World Cup,Vancouver,Canada,True,True,Placeholder
2026-07-09,Winner Match 89,Winner Match 90,,,FIFA World Cup,Foxborough,United States,True,True,Placeholder
2026-07-10,Winner Match 91,Winner Match 92,,,FIFA World Cup,Inglewood,United States,True,True,Placeholder
2026-07-11,Winner Match 93,Winner Match 94,,,FIFA World Cup,Miami Gardens,United States,True,True,Placeholder
2026-07-11,Winner Match 95,Winner Match 96,,,FIFA World Cup,Kansas City,United States,True,True,Placeholder
2026-07-14,Winner Match 97,Winner Match 98,,,FIFA World Cup,Arlington,United States,True,True,Placeholder
2026-07-15,Winner Match 99,Winner Match 100,,,FIFA World Cup,Atlanta,United States,True,True,Placeholder
2026-07-18,Loser Match 101,Loser Match 102,,,FIFA World Cup,Miami Gardens,United States,True,True,Placeholder
2026-07-19,Winner Match 101,Winner Match 102,,,FIFA World Cup,East Rutherford,United States,True,True,Placeholder
